symbol,timestamp,open,high,low,close,volume
GME,2021-01-22T14:00:00Z,70.385,71.99,54.46,55.1097,42170241
GME,2021-01-22T15:00:00Z,54.9955,61.49,54.6,59.18,18935784
GME,2021-01-22T16:00:00Z,59.185,68,57.2,64.85,30044433
GME,2021-01-22T17:00:00Z,65,68.46,62.4,67.6,2300243
GME,2021-01-22T18:00:00Z,67.5,67.89,63.01,63.8,942544
GME,2021-01-22T19:00:00Z,64,64.88,62.35,63.7,152240
GME,2021-01-22T20:00:00Z,63.6,63.6,61,61,279826
GME,2021-01-25T05:00:00Z,72.5,136.63,72.2,105.39,1194735
GME,2021-01-25T06:00:00Z,106.77,109,86.25,96.77,885972
GME,2021-01-25T07:00:00Z,96.93,101.7,90.35,94.43,784325
GME,2021-01-25T08:00:00Z,94.48,97,86.72,91.65,2187519
GME,2021-01-25T09:00:00Z,91.71,104.53,86.9999,98.05,4674120
GME,2021-01-25T10:00:00Z,98.265,103,86.32,89.76,19162322
GME,2021-01-25T11:00:00Z,89.685,159.18,85,117.07,51720237
GME,2021-01-25T12:00:00Z,117.07,120,85.39,99.56,20758922
GME,2021-01-25T13:00:00Z,99.99,103,61.13,69.42,25133190
GME,2021-01-25T14:00:00Z,69.3,81.5,65.37,76.7499,17781046
GME,2021-01-25T15:00:00Z,76.6241,96.1192,74.16,77.0001,17297869
GME,2021-01-25T16:00:00Z,77.19,132.45,71.1001,76.765,15181166
GME,2021-01-25T17:00:00Z,76.7698,79.75,72,78.5,919573
GME,2021-01-25T18:00:00Z,78.39,83.5,78.3,81.71,917538
GME,2021-01-25T19:00:00Z,81.71,158.09,81.65,82.8801,200184
GME,2021-01-25T20:00:00Z,82.9,90,82.9,88.87,685503
GME,2021-01-26T05:00:00Z,90,100,90,94,269334
GME,2021-01-26T06:00:00Z,94.25,94.25,86.03,88.55,143907
GME,2021-01-26T07:00:00Z,89,91,87.5,88.5,58588
GME,2021-01-26T08:00:00Z,88.89,94.39,86.39,91.51,910935
GME,2021-01-26T09:00:00Z,91.62,94.39,86.15,89.25,977656
GME,2021-01-26T10:00:00Z,89,101.62,81.05,87.57,16354218
GME,2021-01-26T11:00:00Z,87.575,94,80.2,87.6101,16466769
GME,2021-01-26T12:00:00Z,87.62,90.68,81,87.7999,7316533
GME,2021-01-26T13:00:00Z,87.685,114.24,87.68,105.5556,20647463
GME,2021-01-26T14:00:00Z,105.3137,124.5799,96.99,114.5499,31838143
GME,2021-01-26T15:00:00Z,114.2538,143.89,112,131.845,32448423
GME,2021-01-26T16:00:00Z,131.6913,150,127,145.965,33611620
GME,2021-01-26T17:00:00Z,146.2,244,138,224.45,11327636
GME,2021-01-26T18:00:00Z,224.6,248.9,203,208.14,4415925
GME,2021-01-26T19:00:00Z,208.1,231.5,205.11,225,1538541
GME,2021-01-26T20:00:00Z,225,227.19,207.95,209.51,696310
GME,2021-01-27T05:00:00Z,246.66,299.33,219.07,299.19,1420557
GME,2021-01-27T06:00:00Z,299.5,365.42,293.01,351,1636973
GME,2021-01-27T07:00:00Z,351.89,353,182.55,197.89,1884752
GME,2021-01-27T08:00:00Z,199.5,277,195,230,3114545
GME,2021-01-27T09:00:00Z,230,273.4,197.53,231.5,2745116
GME,2021-01-27T10:00:00Z,231.15,385,197.53,310.69,14868987
GME,2021-01-27T11:00:00Z,310.32,380,249,371.82,17380005
GME,2021-01-27T12:00:00Z,371.182,380,312.61,312.61,14642683
GME,2021-01-27T13:00:00Z,312.61,350,280,342.172,10028847
GME,2021-01-27T14:00:00Z,341.0407,347.16,303.77,326.59,6783598
GME,2021-01-27T15:00:00Z,326.07,337.89,290.01,319.6006,7132382
GME,2021-01-27T16:00:00Z,318.01,353,315.4054,345,9389100
GME,2021-01-27T17:00:00Z,347.51,373.02,305,327.26,1151987
GME,2021-01-27T18:00:00Z,327.36,347.51,293,319.85,637148
GME,2021-01-27T19:00:00Z,319,319.9,220,248.8,528090
GME,2021-01-27T20:00:00Z,248.99,303,217,292,1171816
GME,2021-01-28T05:00:00Z,311.3,360,301,335,216927
GME,2021-01-28T06:00:00Z,333.11,457.89,333,456,711496
GME,2021-01-28T07:00:00Z,456.4,513.12,410,445,851313
GME,2021-01-28T08:00:00Z,447.01,508.83,421.7,459,1957560
GME,2021-01-28T09:00:00Z,459,489.12,338,341,1960172
GME,2021-01-28T10:00:00Z,340.73,509,249.73,468.49,9056569
GME,2021-01-28T11:00:00Z,469,483,264.01,264.01,7495146
GME,2021-01-28T12:00:00Z,265,282.55,112.25,255.7614,10814643
GME,2021-01-28T13:00:00Z,255.99,324,230.01,239.6656,6307940
GME,2021-01-28T14:00:00Z,240.9471,267,205.4201,241.5301,5130891
GME,2021-01-28T15:00:00Z,242.4305,265,215,247.17,4743507
GME,2021-01-28T16:00:00Z,246.1359,261.9899,197.44,197.44,5687714
GME,2021-01-28T17:00:00Z,197.44,282.92,193.6,257,1543357
GME,2021-01-28T18:00:00Z,257,509,255,281.85,418746
GME,2021-01-28T19:00:00Z,280.33,348.86,280.33,347.01,1106541
GME,2021-01-28T20:00:00Z,347,355.9,305.99,311.99,894387
GME,2021-01-29T05:00:00Z,360,470,355.98,425.94,459268
GME,2021-01-29T06:00:00Z,420,420,380,389.05,142488
GME,2021-01-29T07:00:00Z,385,400,360,395.01,151017
GME,2021-01-29T08:00:00Z,395,399.98,311,346.49,1305548
GME,2021-01-29T09:00:00Z,347.07,392.01,312.0098,362.79,1386429
GME,2021-01-29T10:00:00Z,363.01,413.98,291.57,317.37,8581801
GME,2021-01-29T11:00:00Z,317.7093,347,291,334.62,7499078
GME,2021-01-29T12:00:00Z,335.5999,344.99,312.04,340.1656,3975763
GME,2021-01-29T13:00:00Z,339.8802,377,312.44,329.3264,5441582
GME,2021-01-29T14:00:00Z,328.1182,336,265.4801,276.1098,4781288
GME,2021-01-29T15:00:00Z,275.95,306.95,250,283.5608,6658776
GME,2021-01-29T16:00:00Z,284.79,335,283.81,328.24,8550072
GME,2021-01-29T17:00:00Z,327.67,330.9,293.0001,322.02,1112924
GME,2021-01-29T18:00:00Z,322.3,350,301.21,306,271764
GME,2021-01-29T19:00:00Z,306.11,320,303.0201,315.72,168467
GME,2021-01-29T20:00:00Z,316,321.1,312,312.01,171440
GME,2021-02-01T05:00:00Z,356.1,384.89,321.75,348,286953
GME,2021-02-01T06:00:00Z,347,356.36,326.05,337,113164
GME,2021-02-01T07:00:00Z,338,345,326.06,328.18,88718
GME,2021-02-01T08:00:00Z,327.42,331.9,288.07,323.35,921397
GME,2021-02-01T09:00:00Z,327,333,288.0501,317.8,689532
GME,2021-02-01T10:00:00Z,317.7,322,252,269.9999,6272754
GME,2021-02-01T11:00:00Z,270,284,212,237.39,9174759
GME,2021-02-01T12:00:00Z,236.775,280,232.9001,259.2,4810622
GME,2021-02-01T13:00:00Z,259,262.5999,241,248,2502651
GME,2021-02-01T14:00:00Z,248.4599,253.8899,230,250,2997396
GME,2021-02-01T15:00:00Z,250,251,235.51,240.1828,2065638
GME,2021-02-01T16:00:00Z,240.1096,240.1096,214.66,227,4599470
